variant,platform,surface,ms
tenure-1mo-new,ios,today,63
tenure-1mo-new,ios,calendar-current,180
tenure-1mo-new,ios,oldest-day,258
tenure-1mo-new,ios,insights,321
tenure-1mo-new,ios,timeline,301
tenure-1mo-new,ios,settings,323
tenure-1mo-new,ios,backup,312
tenure-3mo-regular,ios,today,57
tenure-3mo-regular,ios,calendar-current,193
tenure-3mo-regular,ios,oldest-day,239
tenure-3mo-regular,ios,insights,323
tenure-3mo-regular,ios,timeline,355
tenure-3mo-regular,ios,settings,352
tenure-3mo-regular,ios,backup,314
tenure-6mo-gap,ios,today,57
tenure-6mo-gap,ios,calendar-current,174
tenure-6mo-gap,ios,oldest-day,244
tenure-6mo-gap,ios,insights,287
tenure-6mo-gap,ios,timeline,353
tenure-6mo-gap,ios,settings,377
tenure-6mo-gap,ios,backup,360
tenure-12mo-regular,ios,timeline,272
tenure-12mo-regular,ios,today,55
tenure-12mo-regular,ios,oldest-day,240
tenure-12mo-regular,ios,calendar-history,303
tenure-12mo-regular,ios,insights,285
tenure-12mo-regular,ios,condition-pcos,299
tenure-12mo-regular,ios,condition-pmdd,62
tenure-12mo-regular,ios,condition-endometriosis,63
tenure-12mo-regular,ios,monthly-briefing,270
tenure-12mo-regular,ios,settings,289
tenure-12mo-regular,ios,birth-control,316
tenure-12mo-regular,ios,privacy,289
tenure-12mo-regular,ios,backup,276
tenure-12mo-regular,ios,paywall,274
tenure-12mo-irregular,ios,timeline,272
tenure-12mo-irregular,ios,today,52
tenure-12mo-irregular,ios,oldest-day,318
tenure-12mo-irregular,ios,calendar-history,305
tenure-12mo-irregular,ios,insights,289
tenure-12mo-irregular,ios,condition-pcos,307
tenure-12mo-irregular,ios,condition-pmdd,36
tenure-12mo-irregular,ios,monthly-briefing,295
tenure-12mo-irregular,ios,settings,284
tenure-12mo-irregular,ios,birth-control,299
tenure-12mo-irregular,ios,privacy,281
tenure-12mo-irregular,ios,backup,273
tenure-12mo-irregular,ios,paywall,276
tenure-lapsed,ios,today,56
tenure-lapsed,ios,calendar-current,187
tenure-lapsed,ios,insights,195
tenure-lapsed,ios,timeline,341
tenure-lapsed,ios,settings,359
tenure-lapsed,ios,backup,309
tenure-12mo-regular,ios,calendar-current,164
tenure-12mo-regular,ios,calendar-minus-1mo,78
tenure-12mo-regular,ios,calendar-minus-6mo,78
tenure-12mo-irregular,ios,calendar-current,182
tenure-12mo-irregular,ios,calendar-minus-1mo,79
tenure-12mo-irregular,ios,calendar-minus-6mo,75
tenure-12mo-regular,ios,calendar-minus-6mo,282
tenure-12mo-regular,ios,timeline,318
tenure-12mo-regular,ios,calendar-minus-6mo,163
tenure-12mo-regular,ios,timeline,320
tenure-12mo-irregular,ios,calendar-minus-6mo,183
tenure-12mo-irregular,ios,condition-pmdd-redirected,574
tenure-12mo-irregular,ios,condition-endometriosis-redirected,70
tenure-12mo-irregular,ios,timeline,301
tenure-lapsed,ios,oldest-day,253
tenure-1mo-new,android,today,99
tenure-1mo-new,android,calendar-current,1491
tenure-1mo-new,android,oldest-day,1030
tenure-1mo-new,android,insights,1088
tenure-1mo-new,android,timeline,1103
tenure-1mo-new,android,settings,1174
tenure-1mo-new,android,backup,1027
tenure-3mo-regular,android,today,28
tenure-3mo-regular,android,calendar-current,237
tenure-3mo-regular,android,oldest-day,978
tenure-3mo-regular,android,insights,1273
tenure-3mo-regular,android,timeline,1119
tenure-3mo-regular,android,settings,1252
tenure-3mo-regular,android,backup,1205
tenure-6mo-gap,android,today,52
tenure-6mo-gap,android,calendar-current,1579
tenure-6mo-gap,android,oldest-day,972
tenure-6mo-gap,android,insights,1099
tenure-6mo-gap,android,timeline,1125
tenure-6mo-gap,android,settings,1151
tenure-6mo-gap,android,backup,925
tenure-12mo-regular,android,today,88
tenure-12mo-regular,android,calendar-current,2584
tenure-12mo-regular,android,calendar-minus-1mo,82
tenure-12mo-regular,android,calendar-minus-6mo,82
tenure-12mo-regular,android,oldest-day,1003
tenure-12mo-regular,android,calendar-history,2308
tenure-12mo-regular,android,insights,2725
tenure-12mo-regular,android,condition-pcos,2701
tenure-12mo-regular,android,condition-pmdd,80
tenure-12mo-regular,android,condition-endometriosis,79
tenure-12mo-regular,android,monthly-briefing,2592
tenure-12mo-regular,android,timeline,1912
tenure-12mo-regular,android,settings,1985
tenure-12mo-regular,android,birth-control,1140
tenure-12mo-regular,android,privacy,420
tenure-12mo-regular,android,backup,398
tenure-12mo-irregular,android,today,39
tenure-12mo-irregular,android,calendar-current,309
tenure-12mo-irregular,android,calendar-minus-1mo,27
tenure-12mo-irregular,android,calendar-minus-6mo,24
tenure-12mo-irregular,android,oldest-day,985
tenure-12mo-irregular,android,calendar-history,1426
tenure-12mo-irregular,android,insights,1190
tenure-12mo-irregular,android,condition-pcos,1112
tenure-12mo-irregular,android,condition-pmdd-redirected,1451
tenure-12mo-irregular,android,condition-endometriosis-redirected,104
tenure-12mo-irregular,android,monthly-briefing,1281
tenure-12mo-irregular,android,timeline,1444
tenure-12mo-irregular,android,settings,1325
tenure-12mo-irregular,android,birth-control,1583
tenure-12mo-irregular,android,privacy,1341
tenure-12mo-irregular,android,backup,1261
tenure-lapsed,android,today,106
tenure-lapsed,android,calendar-current,1276
tenure-lapsed,android,oldest-day,948
tenure-lapsed,android,insights,1107
tenure-lapsed,android,timeline,1151
tenure-lapsed,android,settings,1298
tenure-lapsed,android,backup,1022
tenure-12mo-regular,android,calendar-minus-6mo,503
tenure-12mo-regular,android,timeline,496
